,season_x,player_name,Tm,Age,Pos,Int,PD,Sk,QBHits,season_y,pos,school,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
2575,2021,Ryan Smith,LAC,28,DB,0,0,0.0,0,2016,CB,North Carolina Central,71,189.0,4.47,18.0,36.0,122.0,6.88,4.09
2576,2016,Lynden Trail,WAS,25,DE,0,1,0.0,0,2015,DE,Norfolk State,79,269.0,4.91,24.0,32.5,117.0,7.32,4.48
2577,2016,J.J. Watt,HOU,27,DE,0,0,1.5,5,2011,DE,Wisconsin,77,290.0,4.81,34.0,37.0,120.0,6.88,4.21
2578,2017,J.J. Watt,HOU,28,LDE,0,2,0.0,5,2011,DE,Wisconsin,77,290.0,4.81,34.0,37.0,120.0,6.88,4.21
2579,2018,J.J. Watt,HOU,29,LDE,0,4,16.0,25,2011,DE,Wisconsin,77,290.0,4.81,34.0,37.0,120.0,6.88,4.21
2580,2019,J.J. Watt,HOU,30,LDE,0,3,4.0,21,2011,DE,Wisconsin,77,290.0,4.81,34.0,37.0,120.0,6.88,4.21
2581,2020,J.J. Watt,HOU,31,LDE,1,7,5.0,17,2011,DE,Wisconsin,77,290.0,4.81,34.0,37.0,120.0,6.88,4.21
2582,2021,J.J. Watt,ARI,32,RDE,0,2,1.0,10,2011,DE,Wisconsin,77,290.0,4.81,34.0,37.0,120.0,6.88,4.21
2583,2022,J.J. Watt,ARI,33,DE,0,7,12.5,25,2011,DE,Wisconsin,77,290.0,4.81,34.0,37.0,120.0,6.88,4.21
2584,2016,Stephen Weatherly,MIN,22,LB,0,0,0.0,0,2016,OLB,Vanderbilt,76,267.0,4.61,23.0,31.0,117.0,7.0,4.0
2585,2017,Stephen Weatherly,MIN,23,LB,0,0,0.0,0,2016,OLB,Vanderbilt,76,267.0,4.61,23.0,31.0,117.0,7.0,4.0
2586,2018,Stephen Weatherly,MIN,24,RDE,0,1,3.0,8,2016,OLB,Vanderbilt,76,267.0,4.61,23.0,31.0,117.0,7.0,4.0
2587,2019,Stephen Weatherly,MIN,25,LB,0,0,3.0,9,2016,OLB,Vanderbilt,76,267.0,4.61,23.0,31.0,117.0,7.0,4.0
2588,2020,Stephen Weatherly,CAR,26,RDE,0,0,0.0,3,2016,OLB,Vanderbilt,76,267.0,4.61,23.0,31.0,117.0,7.0,4.0
2589,2021,Stephen Weatherly,2TM,27,LB,0,0,2.5,7,2016,OLB,Vanderbilt,76,267.0,4.61,23.0,31.0,117.0,7.0,4.0
2590,2016,Josh Evans,WAS,25,DB,0,0,0.0,0,2013,S,Florida,73,207.0,4.58,20.0,34.5,123.0,6.64,4.1
2591,2016,Alani Fua,ARI,24,LB,0,0,0.0,0,2015,OLB,BYU,77,238.0,4.73,18.0,34.5,118.0,6.83,4.15
2592,2016,Dashon Goldson,ATL,32,DB,0,0,0.0,0,2007,S,Washington,74,205.0,4.6,12.0,34.5,115.0,7.37,4.46
2593,2016,Quinton Jefferson,SEA,23,DT,0,0,0.0,0,2016,DT,Maryland,76,291.0,4.95,24.0,29.0,114.0,7.95,4.37
2594,2017,Quinton Jefferson,SEA,24,DT,0,0,1.0,4,2016,DT,Maryland,76,291.0,4.95,24.0,29.0,114.0,7.95,4.37
2595,2018,Quinton Jefferson,SEA,25,LDE,0,2,3.0,15,2016,DT,Maryland,76,291.0,4.95,24.0,29.0,114.0,7.95,4.37
2596,2019,Quinton Jefferson,SEA,26,LOLB,0,3,3.5,10,2016,DT,Maryland,76,291.0,4.95,24.0,29.0,114.0,7.95,4.37
2597,2020,Quinton Jefferson,BUF,27,DT,0,1,3.0,6,2016,DT,Maryland,76,291.0,4.95,24.0,29.0,114.0,7.95,4.37
2598,2021,Quinton Jefferson,LVR,28,RDT,0,1,4.5,16,2016,DT,Maryland,76,291.0,4.95,24.0,29.0,114.0,7.95,4.37
2599,2022,Quinton Jefferson,SEA,29,DE,0,2,5.5,13,2016,DT,Maryland,76,291.0,4.95,24.0,29.0,114.0,7.95,4.37
2600,2016,Jordan Lucas,MIA,23,DB,0,0,0.0,0,2016,S,Penn State,72,201.0,4.54,20.0,,114.0,7.0,4.0
2601,2017,Jordan Lucas,MIA,24,DB,0,0,0.0,0,2016,S,Penn State,72,201.0,4.54,20.0,,114.0,7.0,4.0
2602,2018,Jordan Lucas,KAN,25,DB,1,2,1.0,2,2016,S,Penn State,72,201.0,4.54,20.0,,114.0,7.0,4.0
2603,2019,Jordan Lucas,KAN,26,DB,0,1,0.0,1,2016,S,Penn State,72,201.0,4.54,20.0,,114.0,7.0,4.0
2604,2016,Dadi Nicolas,KAN,24,LB,0,1,0.0,0,2016,DE,Virginia Tech,75,235.0,4.74,14.0,41.0,116.0,7.04,4.38
2605,2016,Robert Nkemdiche,ARI,22,DT,0,1,0.0,1,2016,DT,Mississippi,75,294.0,4.87,28.0,35.0,116.0,7.0,4.0
2606,2017,Robert Nkemdiche,ARI,23,DT,0,0,0.0,2,2016,DT,Mississippi,75,294.0,4.87,28.0,35.0,116.0,7.0,4.0
2607,2018,Robert Nkemdiche,ARI,24,RDT,0,1,4.5,7,2016,DT,Mississippi,75,294.0,4.87,28.0,35.0,116.0,7.0,4.0
2608,2021,Robert Nkemdiche,SEA,27,DT,0,1,0.0,1,2016,DT,Mississippi,75,294.0,4.87,28.0,35.0,116.0,7.0,4.0
2609,2016,Victor Ochi,NYJ,23,LB,0,0,0.0,0,2016,DE,Stony Brook,73,246.0,4.86,20.0,32.0,119.0,7.24,4.4
2610,2016,Scooby Wright III,ARI,22,LB,0,0,0.0,0,2016,ILB,Arizona,72,239.0,4.9,22.0,31.0,113.0,7.0,4.47
2611,2017,Scooby Wright III,ARI,23,LB,0,0,0.0,0,2016,ILB,Arizona,72,239.0,4.9,22.0,31.0,113.0,7.0,4.47
2612,2017,Desmond King,LAC,23,DB,1,5,4.0,6,2017,S,Iowa,70,201.0,4.0,14.0,34.0,117.0,6.67,4.18
2613,2018,Desmond King,LAC,24,DB,3,10,0.0,2,2017,S,Iowa,70,201.0,4.0,14.0,34.0,117.0,6.67,4.18
2614,2019,Desmond King,LAC,25,DB,0,2,2.5,4,2017,S,Iowa,70,201.0,4.0,14.0,34.0,117.0,6.67,4.18
2615,2020,Desmond King,2TM,26,DB/RCB,0,2,2.0,2,2017,S,Iowa,70,201.0,4.0,14.0,34.0,117.0,6.67,4.18
2616,2021,Desmond King,HOU,27,LCB,3,6,0.0,0,2017,S,Iowa,70,201.0,4.0,14.0,34.0,117.0,6.67,4.18
2617,2022,Desmond King,HOU,28,DB,2,8,0.0,2,2017,S,Iowa,70,201.0,4.0,14.0,34.0,117.0,6.67,4.18
2618,2017,Jarrad Davis,DET,23,MLB,1,3,2.0,4,2017,ILB,Florida,73,238.0,4.0,20.0,,114.0,7.0,4.0
2619,2018,Jarrad Davis,DET,24,MLB,0,5,6.0,10,2017,ILB,Florida,73,238.0,4.0,20.0,,114.0,7.0,4.0
2620,2019,Jarrad Davis,DET,25,MLB,0,1,2.0,5,2017,ILB,Florida,73,238.0,4.0,20.0,,114.0,7.0,4.0
2621,2020,Jarrad Davis,DET,26,LB,0,0,0.5,4,2017,ILB,Florida,73,238.0,4.0,20.0,,114.0,7.0,4.0
2622,2021,Jarrad Davis,NYJ,27,MLB,0,0,0.0,0,2017,ILB,Florida,73,238.0,4.0,20.0,,114.0,7.0,4.0
2623,2017,Jamal Adams,NYJ,22,SS,0,6,2.0,2,2017,S,LSU,72,214.0,4.56,18.0,31.5,120.0,6.96,4.13
2624,2018,Jamal Adams,NYJ,23,SS,1,12,3.5,8,2017,S,LSU,72,214.0,4.56,18.0,31.5,120.0,6.96,4.13
2625,2019,Jamal Adams,NYJ,24,SS,1,7,6.5,13,2017,S,LSU,72,214.0,4.56,18.0,31.5,120.0,6.96,4.13
2626,2020,Jamal Adams,SEA,25,SS,0,3,9.5,14,2017,S,LSU,72,214.0,4.56,18.0,31.5,120.0,6.96,4.13
2627,2021,Jamal Adams,SEA,26,SS,2,5,0.0,2,2017,S,LSU,72,214.0,4.56,18.0,31.5,120.0,6.96,4.13
2628,2022,Jamal Adams,SEA,27,SS,0,1,0.0,1,2017,S,LSU,72,214.0,4.56,18.0,31.5,120.0,6.96,4.13
2629,2017,Kyle Fuller,CHI,25,RCB,2,22,0.0,0,2014,CB,Virginia Tech,72,190.0,4.49,12.0,38.5,128.0,6.9,4.19
2630,2018,Kyle Fuller,CHI,26,LCB,7,21,0.0,0,2014,CB,Virginia Tech,72,190.0,4.49,12.0,38.5,128.0,6.9,4.19
