,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
184,00-0033891,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,18.0,0,0.0,0.0,1.0,0.5186655742581934,0,82,121,823.0,5,0.0,0.0,1029.0,271.0,44.0,40.43086222549859,1,13.721322764289468,3.42740221915166,4.2003674430990605,8.081360538896833,0.0,116.1,198.1,16,0.2111692844677138,0.24558472553699284,0.13990707279297884,0.513221707131165,0.20709612481127326,0.21739130434782608,0.22110552763819097,0.22072072072072071,0.21224371457954966,0.20915516071858384,1.4363001745200699,0.13663388189204473
185,00-0033893,2022,REG,0,0,0.0,0,0.0,1.0,5.0,1,1,0.0,0.0,0.0,-6.88789240695769,0,0.0,0.0,264,1173.0,8,3.0,3.0,50.0,-48.55650332735415,0,39,56,295.0,2,0.0,0.0,-29.0,331.0,16.0,6.475425905337565,0,-33.75227272727273,1.4740606455216956,-0.1541675166874967,2.1031737066012957,0.0,198.8,237.8,17,0.08333333333333333,-0.005794205794205794,0.15650118203309693,0.12036463536463536,0.06122872561228725,0.06666666666666667,0.06557377049180328,0.06569343065693431,0.06394769613947696,0.06231631382316314,0.43898809523809523,0.14251297479354197
186,00-0033895,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,-0.5668091089464724,0,58,87,555.0,4,0.0,0.0,491.0,326.0,29.0,1.2463771053494592,1,20.309801852736637,2.0347954409416076,1.8280740016096029,4.331844962539133,0.0,81.5,139.5,15,0.13384615384615384,0.12198757763975156,0.13919726729291204,0.298359292881032,0.12979420018709073,0.16666666666666666,0.1380952380952381,0.14102564102564102,0.1482304334268787,0.13716869348300592,0.8538461538461538,0.0955846077947706
187,00-0033897,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,210,814.0,7,0.0,0.0,47.0,-11.59523736968028,0,60,75,441.0,2,0.0,0.0,-15.0,468.0,17.0,11.331125587833561,0,27.896853546910755,1.9769494035838657,-0.11695724329156722,2.8835540350717017,0.0,179.5,239.5,14,0.13837638376383765,-0.004073872895165671,0.2440041710114703,0.20430547732962395,0.11125126135216952,0.0625,0.08717948717948718,0.08370044052863436,0.08687563067608475,0.10150100908173562,0.8136531365313653,0.16833478590907813
188,00-0033906,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,223,897.0,2,2.0,2.0,40.0,-41.05023815162713,0,57,77,490.0,2,2.0,2.0,73.0,465.0,17.0,-3.4010880035233564,0,261.1091575091575,2.6896266332329666,0.24850033018636136,4.208390180979903,0.0,154.7,211.7,15,0.17342342342342343,0.01973506353068397,0.30713342140026423,0.2759231859596823,0.14012010294538177,0.09090909090909091,0.10559006211180125,0.10382513661202186,0.11551459692723634,0.1302779005381236,1.1036036036036037,0.17500495998941867
189,00-0033908,2022,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,25.0,0.0,0.0,-0.46752027643378824,0,0.0,0.0,9,52.0,1,0.0,0.0,4.0,1.3107369058998302,0,75,98,812.0,6,2.0,1.0,704.0,422.0,42.0,16.342067479237862,0,10.476681903911162,2.7541357273831704,3.233677506865631,6.3947778458806965,0.0,126.4,201.4,9,0.30246913580246915,0.33927710843373493,0.35108153078202997,0.7251253904506917,0.3778501628664495,0.6666666666666666,0.3783783783783784,0.4,0.5222584147665581,0.435613463626493,2.506172839506173,0.2939459396345379
190,00-0033921,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,5.0,0,0.0,0.0,0.0,-1.5077545003732666,0,104,142,1023.0,3,2.0,2.0,803.0,531.0,54.0,30.63972956130346,1,20.440299830785563,3.2946553406084007,2.7779580937944943,6.886553676568747,0.0,118.80000000000001,222.8,15,0.21037037037037037,0.1774585635359116,0.2450392247346562,0.4575224063842849,0.23873978996499418,0.125,0.2488479262672811,0.23651452282157676,0.1818698949824971,0.21599183197199534,1.5155555555555555,0.15755604271267942
191,00-0033923,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,123,468.0,3,1.0,0.0,30.0,-11.557620754056018,0,35,44,210.0,1,0.0,0.0,-20.0,243.0,11.0,-2.4749615233686106,0,15.935858585858586,1.5616048896812653,-0.10460377188937187,2.2691846941993377,0.0,91.8,126.8,17,0.08148148148148149,-0.004561003420752566,0.14826113483831604,0.11857341948562018,0.05660377358490566,0.05263157894736842,0.06043956043956044,0.05970149253731343,0.05461767626613704,0.055809334657398214,0.3888888888888889,0.09219136251272356
192,00-0033925,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,203,914.0,5,1.0,0.0,45.0,2.982043358247358,1,5,9,26.0,0,0.0,0.0,-3.0,27.0,1.0,-10.932217505602033,0,1.0,0.36777393753200205,0.05763486932311513,0.5920053148241837,0.0,126.0,131.0,16,0.020833333333333332,-0.0009511731135066582,0.016615384615384615,0.030489061509194674,0.008452535760728219,0.0,0.007518796992481203,0.006756756756756757,0.0042262678803641094,0.006762028608582576,0.06018518518518518,0.11864437480754252
193,00-0033932,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,17,81.0,1,0.0,0.0,164.0,11.0,4.0,-1.7573862481870193,0,3.2351317663817665,0.6075123470440807,0.8956582500390912,1.538229295593485,0.0,14.100000000000001,20.1,6,0.09714285714285714,0.13464696223316913,0.018302828618968387,0.25343185550082103,0.06911262798634812,0.16666666666666666,0.07142857142857142,0.08064516129032258,0.11788964732650739,0.08862343572241183,0.46285714285714286,0.04199047380295814
194,00-0033936,2022,REG,7,11,35.0,0,1.0,1.0,5.0,0,0,57.0,20.0,2.0,-11.6011407254408,0,1.2170212765957447,0.02030869387369512,4,-4.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0000000000000002,-1.0000000000000002,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029834715675159623
195,00-0033943,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,38,59,479.0,3,0.0,0.0,704.0,115.0,25.0,11.604702909754556,0,9.437114414508013,1.6713382219879316,2.523792096101201,4.2736618002527385,0.0,65.9,103.9,12,0.135632183908046,0.2162826420890937,0.07003654080389768,0.37647438953334394,0.14030462800234328,0.13043478260869565,0.14705882352941177,0.14507772020725387,0.13536970530551945,0.13833065892361376,1.1011494252873564,0.08424142180709605
196,00-0033948,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,262,1066.0,17,3.0,2.0,65.0,-26.026520815387734,1,12,16,73.0,0,0.0,0.0,29.0,65.0,4.0,-1.974092585442122,0,5.852631578947368,0.44656505502149396,0.07988630058301627,0.7257679929403523,0.0,213.9,225.9,17,0.027210884353741496,0.007008216529724505,0.028421512898994316,0.046422899754391844,0.01642664266426643,0.0,0.017543859649122806,0.01556420233463035,0.008213321332133214,0.013141314131413144,0.12414965986394558,0.13782289849059826
197,00-0033949,2022,REG,40,68,411.0,2,2.0,6.0,26.0,4,2,525.0,213.0,25.0,-8.974636538833105,0,1.643609783881277,0.10245154743584903,8,44.0,0,0.0,0.0,4.0,1.7875308629591018,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.84,20.84,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15559205614454233
198,00-0033951,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,16,84.0,1,0.0,0.0,4.0,-0.8917646022746339,0,8,10,99.0,1,0.0,0.0,-16.0,114.0,2.0,3.4456127349282784,0,-5.883333333333334,0.33189440803154896,-0.10877578469643075,0.42169856275982187,0.0,30.3,38.300000000000004,5,0.06172839506172839,-0.012223071046600458,0.2261904761904762,0.08281413575531221,0.09428571428571429,0.14285714285714285,0.043478260869565216,0.05660377358490566,0.11857142857142858,0.10400000000000001,0.6111111111111112,0.10221510541766747
199,00-0033958,2022,REG,14,25,139.0,1,1.0,1.0,6.0,0,0,265.0,44.0,9.0,-5.093470546009485,0,0.9838632750397457,0.14480918711894367,2,7.0,0,0.0,0.0,0.0,-0.23472769581712782,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.26,8.26,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044764795144157814
200,00-0034011,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,13,135.0,0,0.0,0.0,82.0,75.0,5.0,5.848696494940668,0,16.9125,0.38183621406312385,0.4164460453401304,0.8642665528327771,0.0,13.5,22.5,10,0.03735632183908046,0.03200624512099922,0.06082725060827251,0.08163947885542007,0.056016597510373446,0.0,0.04065040650406504,0.03731343283582089,0.028008298755186723,0.04481327800829876,0.3879310344827586,0.026788903440885817
201,00-0034054,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,14,102.0,2,0.0,0.0,122.0,26.0,8.0,1.4560171206831,0,4.9298245614035086,0.4017854890494209,0.37159965209515006,0.8627979900407364,0.0,22.2,31.2,8,0.047619047619047616,0.046564885496183206,0.02944507361268403,0.10868047982551798,0.044463818657367045,0.15384615384615385,0.0761904761904762,0.0847457627118644,0.09915498625176045,0.0663402856951244,0.3469387755102041,0.04441534037525268
202,00-0034073,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,105.0,1,0.0,0.0,69.0,43.0,3.0,8.342849017702974,0,4.708333333333334,0.19705128205128206,0.3657889237633409,0.5516291697112616,0.0,16.5,19.5,4,0.047619047619047616,0.09517241379310344,0.08669354838709678,0.1475665024630542,0.12266355140186916,0.2,0.08823529411764706,0.10256410256410256,0.1613317757009346,0.13813084112149535,1.0,0.061274509803921566
